there are total 216 partitions   total nodes: 47773 
they are:
19127 41.939231, 123.126921
19128 41.939301, 123.126909
7214 4.193934, 123.126857
19129 41.939346, 123.126848
19130 41.939422, 123.126529
19132 41.939512, 123.126024
2899 41.939624, 123.125556
19133 41.939654, 123.125431
19134 4.193986, 123.124703
19135 41.940162, 123.123564
2916 41.940222, 123.123378
19136 41.940344, 123.122995
19137 41.940365, 12.312288
19138 41.940367, 123.122633
2909 41.940659, 123.123771
2910 41.940673, 123.123686
2911 4.194068, 123.123647
2912 41.940675, 123.123603
2913 41.940664, 123.123572
2914 41.940643, 123.123553
2915 41.940581, 123.123523
2908 4.194003, 123.125901
2901 4.194012, 123.126006
7215 41.940208, 123.126103
7216 41.939995, 123.126213
7217 41.939955, 12.312631
7218 41.939923, 123.126507
2902 41.940239, 123.126136
2903 41.940336, 123.126183
7205 41.940712, 123.126262
7204 4.194023, 123.127985
7203 41.940227, 123.128148
7202 41.940368, 123.128786
2919 41.940374, 123.128755
2920 41.940525, 123.128434
7206 41.940965, 123.128573
7207 41.941156, 123.128646
7208 41.941244, 123.128664
7209 41.941305, 123.128644
7210 41.941362, 123.128603
7211 41.941501, 123.128384
2907 41.942419, 123.126679
7212 41.942868, 123.125938
2904 41.941286, 123.126382
2905 41.942145, 123.126523
2906 41.942304, 123.126603
2921 41.940779, 12.312758
2918 4.194007, 123.130245
4409 41.940478, 123.130506
4416 41.941308, 123.131141
4425 41.942106, 123.131854
4431 4.194434, 123.134163
4404 41.938747, 123.129794
4405 41.938862, 123.129682
4406 41.938977, 123.129682
4407 41.939111, 123.129742
4408 4.193982, 123.130086
19105 41.938689, 123.129897
2922 41.941142, 123.126352
2900 41.939988, 123.125854
7213 41.939702, 123.127469
19107 41.938585, 123.129376
19108 4.193847, 123.128825
18168 41.936089, 123.128864
4388 41.937675, 123.133296
4392 41.937815, 123.133115
4396 41.938109, 123.131888
4400 41.938371, 123.131287
4403 41.938645, 123.129974
4795 41.925313, 123.147586
4808 41.926271, 123.148822
4815 41.926347, 123.148882
4825 41.926411, 123.148882
121 41.924987, 123.147192
partition 33   6:
10992 41.934991, 123.541975
30542 41.934897, 123.542083
32409 4.193203, 123.545353
29625 41.931944, 123.545453
25339 41.929328, 12.354974
32408 41.935503, 123.541389
partition 34   6:
10474 41.662406, 123.361789
40805 41.662501, 123.361759
40813 41.661964, 123.358409
40746 41.661869, 123.358435
27027 41.661895, 123.358292
27028 41.660959, 123.351926
partition 35   13:
97 41.811163, 123.509442
547 41.811208, 123.509465
570 4.181135, 123.509486
544 41.811364, 123.509441
583 41.811364, 123.509363
590 4.181131, 123.509363
578 4.181132, 123.508765
546 41.811348, 123.508754
577 41.811348, 123.508636
567 41.811242, 123.508633
555 41.811256, 123.507244
545 41.811202, 123.507244
160 41.810975, 123.509408
partition 36   15:
10685 41.651348, 123.393865
26024 41.651948, 123.393895
26025 41.655451, 12.339408
26027 4.165694, 123.394218
26022 41.650345, 123.393815
26020 41.649844, 123.393747
26019 41.649268, 123.393654
10710 41.649019, 123.393596
26018 41.648872, 123.393562
26017 41.648416, 12.339342
26016 41.647937, 123.393198
10714 41.647257, 123.392876
26015 41.646597, 123.392564
26014 41.643682, 123.391048
26028 41.657167, 12.339424
partition 37   24:
12818 4.169127, 123.226159
12841 41.691791, 123.226402
12840 41.692346, 123.226857
12839 41.693864, 123.227767
12848 41.694414, 123.228577
12838 41.694884, 123.229269
12837 41.695563, 123.230498
12836 41.696028, 123.232501
12835 41.696504, 123.232562
12834 41.696629, 123.232334
12833 41.696357, 12.323191
12831 41.696311, 123.231333
12830 41.696039, 12.323062
12829 41.695892, 123.229755
12828 41.695439, 123.229285
12827 41.695382, 12.322886
12826 4.169596, 123.229102
12825 41.695269, 123.227949
12824 41.694623, 12.322713
12823 41.693977, 123.226432
12822 41.693717, 123.226493
12821 0.041694, 123.227221
12820 41.692992, 123.226447
12819 41.691417, 123.225643
partition 38   4:
12865 41.713295, 123.131555
18456 4.171349, 123.131502
18457 41.713731, 123.131418
38196 4.171542, 123.130818
partition 39   59:
13447 4.186218, 12.343069
16240 41.862438, 123.430744
24487 41.863527, 123.430986
15827 41.863634, 12.343101
16226 41.863712, 123.429731
16228 4.186381, 123.429305
24535 41.863929, 123.428857
16227 41.863788, 123.430308
24489 41.863679, 123.430872
16225 41.864456, 12.342687
